orderAmount,orderState,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,fraudulent,samecity,samestate,emailDomain,emailProvider,customerIPAddressSimplified
18.0,pending,True,card,JCB 16 digit,Citizens First Banks,18,False,False,yes,yes,com,yahoo,only_letters
26.0,fulfilled,True,bitcoin,VISA 16 digit,Solace Banks,26,False,True,no,no,com,yahoo,only_letters
45.0,fulfilled,False,card,VISA 16 digit,Vertex Bancorp,45,False,False,no,no,com,yahoo,digits_and_letters
23.0,fulfilled,False,card,Diners Club / Carte Blanche,His Majesty Bank Corp.,23,False,False,no,no,com,yahoo,digits_and_letters
43.0,fulfilled,False,card,Mastercard,Vertex Bancorp,43,True,True,no,no,com,other,only_letters
33.0,failed,False,bitcoin,American Express,Bastion Banks,33,False,True,no,no,com,other,only_letters
24.0,fulfilled,False,card,Maestro,Her Majesty Trust,24,True,True,no,no,com,other,only_letters
25.0,fulfilled,False,card,JCB 16 digit,Fountain Financial Inc.,24,False,True,no,no,com,gmail,only_letters
34.0,fulfilled,False,card,JCB 16 digit,Bastion Banks,25,True,False,unknown,unknown,com,other,digits_and_letters
26.0,fulfilled,False,card,Discover,His Majesty Bank Corp.,25,False,True,no,no,info,other,only_letters
25.0,fulfilled,False,card,Voyager,Grand Credit Corporation,34,False,True,no,no,com,yahoo,only_letters
71.0,fulfilled,False,apple pay,American Express,Grand Credit Corporation,26,False,False,no,no,com,hotmail,only_letters
66.0,fulfilled,False,apple pay,JCB 16 digit,His Majesty Bank Corp.,25,False,False,no,no,org,other,digits_and_letters
69.0,failed,False,apple pay,VISA 16 digit,His Majesty Bank Corp.,71,False,False,no,no,com,other,only_letters
46.0,fulfilled,False,card,JCB 16 digit,Bastion Banks,66,True,False,no,no,info,other,digits_and_letters
68.0,fulfilled,False,card,VISA 13 digit,Grand Credit Corporation,69,False,True,no,no,com,gmail,only_letters
59.0,fulfilled,False,card,JCB 16 digit,Solace Banks,46,True,False,no,no,com,yahoo,only_letters
32.0,fulfilled,False,paypal,JCB 15 digit,B,68,False,False,no,no,com,other,only_letters
25.0,pending,False,card,VISA 16 digit,p,59,False,False,no,no,com,hotmail,digits_and_letters
40.0,fulfilled,False,apple pay,VISA 13 digit,x,32,False,False,no,no,biz,other,only_letters
65.0,fulfilled,False,card,JCB 16 digit,e,25,False,False,no,no,net,other,only_letters
36.0,failed,False,card,VISA 16 digit,Her Majesty Trust,40,True,False,no,no,com,other,only_letters
68.0,fulfilled,False,bitcoin,Voyager,Bulwark Trust Corp.,40,False,False,no,no,com,hotmail,only_letters
74.0,fulfilled,False,card,Discover,Her Majesty Trust,65,True,True,no,no,com,hotmail,only_letters
55.0,fulfilled,False,paypal,Mastercard,His Majesty Bank Corp.,65,False,False,no,no,com,yahoo,digits_and_letters
25.0,fulfilled,False,card,Discover,c,36,False,False,unknown,unknown,biz,other,only_letters
21.0,pending,False,card,American Express,Bastion Banks,68,False,False,unknown,unknown,com,gmail,only_letters
40.0,fulfilled,False,bitcoin,Maestro,Vertex Bancorp,74,True,False,unknown,unknown,com,other,digits_and_letters
18.0,pending,False,card,VISA 13 digit,Her Majesty Trust,55,False,False,no,no,com,yahoo,only_letters
46.0,failed,False,card,Discover,Vertex Bancorp,25,False,True,no,no,com,gmail,digits_and_letters
12.0,fulfilled,False,bitcoin,VISA 16 digit,Citizens First Banks,21,True,False,no,no,com,hotmail,digits_and_letters
11.0,fulfilled,False,card,VISA 16 digit,Vertex Bancorp,21,True,False,no,no,com,hotmail,only_letters
12.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,21,True,True,no,no,weird,weird,digits_and_letters
30.0,fulfilled,False,card,Mastercard,Her Majesty Trust,21,False,False,no,no,com,hotmail,only_letters
49.0,fulfilled,False,paypal,JCB 16 digit,Her Majesty Trust,40,True,False,no,no,com,other,digits_and_letters
45.0,fulfilled,False,card,VISA 16 digit,Solace Banks,40,False,False,no,no,com,yahoo,digits_and_letters
28.0,fulfilled,False,apple pay,VISA 16 digit,a,18,False,False,no,no,org,other,only_letters
10.0,fulfilled,False,bitcoin,JCB 16 digit,Solace Banks,46,False,False,unknown,unknown,com,hotmail,digits_and_letters
45.0,pending,False,card,JCB 16 digit,Bastion Banks,12,False,False,no,no,com,other,digits_and_letters
46.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,11,True,False,no,no,com,other,only_letters
16.0,fulfilled,False,card,Voyager,Fountain Financial Inc.,12,False,True,no,no,com,gmail,digits_and_letters
43.0,fulfilled,False,card,Voyager,His Majesty Bank Corp.,30,False,False,unknown,unknown,com,other,only_letters
34.0,fulfilled,False,card,JCB 16 digit,Her Majesty Trust,49,True,False,unknown,unknown,com,other,only_letters
19.0,failed,False,card,VISA 16 digit,Rose Bancshares,49,False,False,no,no,com,gmail,only_letters
46.0,fulfilled,False,paypal,JCB 16 digit,Rose Bancshares,45,True,False,no,no,org,other,only_letters
39.0,fulfilled,False,apple pay,Mastercard,His Majesty Bank Corp.,28,True,True,no,no,com,gmail,only_letters
35.0,fulfilled,False,card,American Express,Citizens First Banks,28,False,True,no,no,biz,other,only_letters
46.0,failed,True,bitcoin,Diners Club / Carte Blanche,Rose Bancshares,10,False,False,no,no,com,yahoo,only_letters
50.0,fulfilled,False,paypal,VISA 13 digit, ,45,False,False,no,no,com,gmail,digits_and_letters
41.0,fulfilled,False,card,VISA 16 digit,His Majesty Bank Corp.,46,False,False,no,no,biz,other,only_letters
44.0,fulfilled,True,card,American Express,Vertex Bancorp,16,False,True,no,no,com,gmail,only_letters
41.0,fulfilled,False,card,VISA 16 digit,Grand Credit Corporation,43,True,False,no,no,com,yahoo,digits_and_letters
12.0,fulfilled,False,paypal,Maestro,Solace Banks,43,False,False,no,no,com,yahoo,digits_and_letters
33.0,fulfilled,False,card,Maestro,Vertex Bancorp,34,True,False,no,no,com,other,only_letters
40.0,fulfilled,True,card,Maestro,Bulwark Trust Corp.,34,False,False,no,no,com,gmail,digits_and_letters
34.0,pending,False,card,VISA 16 digit,Vertex Bancorp,19,False,True,no,no,com,yahoo,only_letters
12.0,fulfilled,False,card,Voyager,Vertex Bancorp,46,False,False,no,no,biz,other,digits_and_letters
30.0,fulfilled,False,bitcoin,JCB 16 digit,Her Majesty Trust,39,False,True,no,no,com,gmail,only_letters
22.0,fulfilled,False,card,Maestro,Vertex Bancorp,35,False,False,no,no,com,gmail,digits_and_letters
11.0,fulfilled,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,46,False,False,no,no,com,hotmail,only_letters
14.0,fulfilled,False,card,JCB 16 digit,Fountain Financial Inc.,50,False,True,no,no,com,other,only_letters
37.0,fulfilled,False,bitcoin,VISA 13 digit,Grand Credit Corporation,41,False,False,no,no,com,yahoo,digits_and_letters
42.0,fulfilled,False,card,VISA 16 digit,Fountain Financial Inc.,44,False,True,no,no,weird,weird,digits_and_letters
11.0,fulfilled,False,card,Maestro,His Majesty Bank Corp.,41,False,False,no,no,com,yahoo,only_letters
29.0,fulfilled,False,card,VISA 16 digit,Citizens First Banks,12,True,True,no,no,com,gmail,digits_and_letters
31.0,fulfilled,False,card,Voyager,Bastion Banks,12,False,True,no,no,com,gmail,digits_and_letters
33.0,failed,False,paypal,JCB 15 digit,Solace Banks,33,True,False,no,no,com,other,only_letters
47.0,fulfilled,False,card,JCB 15 digit,Fountain Financial Inc.,33,True,False,unknown,unknown,net,other,only_letters
25.0,fulfilled,False,card,Maestro,Bastion Banks,33,False,True,no,no,com,other,digits_and_letters
25.0,fulfilled,False,card,VISA 16 digit,Rose Bancshares,40,False,False,no,no,info,other,digits_and_letters
33.0,fulfilled,False,card,Discover,Rose Bancshares,34,False,False,no,no,com,hotmail,only_letters
48.0,failed,False,apple pay,JCB 16 digit,Her Majesty Trust,12,False,False,unknown,unknown,com,yahoo,digits_and_letters
11.0,fulfilled,False,paypal,VISA 16 digit,Bastion Banks,30,True,False,no,no,org,other,digits_and_letters
23.0,fulfilled,False,card,Diners Club / Carte Blanche,His Majesty Bank Corp.,30,True,False,no,no,com,gmail,only_letters
38.0,fulfilled,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,30,False,False,no,no,com,yahoo,digits_and_letters
12.0,fulfilled,False,card,VISA 16 digit,Solace Banks,22,False,False,no,no,com,gmail,only_letters
15.0,failed,False,card,JCB 15 digit,Bastion Banks,11,False,False,no,no,net,other,digits_and_letters
11.0,fulfilled,False,card,Discover,Rose Bancshares,14,False,False,no,no,com,other,only_letters
39.0,failed,False,card,American Express,Rose Bancshares,37,False,True,no,no,com,other,only_letters
19.0,fulfilled,False,card,VISA 13 digit,His Majesty Bank Corp.,42,True,True,no,no,com,gmail,only_letters
45.0,fulfilled,False,card,Discover,Bulwark Trust Corp.,42,False,True,unknown,unknown,com,other,only_letters
50.0,fulfilled,False,paypal,Maestro,Vertex Bancorp,11,False,False,unknown,unknown,com,hotmail,digits_and_letters
42.0,fulfilled,False,apple pay,JCB 16 digit,Bulwark Trust Corp.,29,False,True,unknown,unknown,com,other,only_letters
10.0,fulfilled,False,paypal,JCB 16 digit,Citizens First Banks,31,False,True,unknown,unknown,org,other,digits_and_letters
30.0,fulfilled,False,apple pay,JCB 16 digit,Citizens First Banks,33,False,True,unknown,unknown,com,other,only_letters
48.0,failed,False,card,Mastercard,Vertex Bancorp,47,True,True,no,no,org,other,only_letters
42.0,pending,False,card,VISA 16 digit,Rose Bancshares,47,False,False,no,no,com,other,digits_and_letters
29.0,fulfilled,False,apple pay,VISA 16 digit,Her Majesty Trust,25,False,False,no,no,com,gmail,only_letters
65.0,failed,False,card,American Express,Solace Banks,25,True,True,no,no,com,hotmail,only_letters
75.0,pending,False,card,Maestro,Solace Banks,25,False,False,no,no,com,gmail,only_letters
58.0,fulfilled,False,card,JCB 15 digit,Citizens First Banks,33,False,True,no,yes,com,hotmail,digits_and_letters
58.0,fulfilled,False,card,JCB 16 digit,Vertex Bancorp,48,False,False,no,no,com,other,only_letters
32.0,fulfilled,False,card,Diners Club / Carte Blanche,Vertex Bancorp,11,True,False,no,no,com,other,digits_and_letters
36.0,fulfilled,False,card,JCB 16 digit,Citizens First Banks,11,False,True,no,no,com,other,only_letters
14.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,23,False,False,no,no,com,other,digits_and_letters
15.0,fulfilled,True,card,Maestro,His Majesty Bank Corp.,38,False,False,no,no,com,hotmail,only_letters
46.0,fulfilled,False,card,Voyager,Fountain Financial Inc.,12,True,True,no,no,biz,other,digits_and_letters
18.0,fulfilled,False,card,JCB 16 digit,Her Majesty Trust,12,True,True,unknown,unknown,com,hotmail,only_letters
30.0,failed,False,card,JCB 16 digit,Vertex Bancorp,12,False,True,no,no,com,gmail,digits_and_letters
16.0,fulfilled,False,card,Mastercard,Grand Credit Corporation,15,True,True,no,no,com,other,only_letters
30.0,fulfilled,True,card,VISA 13 digit,Citizens First Banks,15,False,False,no,no,com,yahoo,only_letters
38.0,fulfilled,False,card,American Express,Grand Credit Corporation,11,False,False,no,no,com,gmail,digits_and_letters
49.0,fulfilled,False,card,Maestro,Fountain Financial Inc.,39,False,True,no,no,net,other,digits_and_letters
29.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,19,True,True,no,no,com,other,digits_and_letters
20.0,fulfilled,False,card,Diners Club / Carte Blanche,Citizens First Banks,19,False,True,no,no,com,yahoo,digits_and_letters
40.0,fulfilled,False,card,JCB 16 digit,His Majesty Bank Corp.,45,False,True,no,no,info,other,only_letters
44.0,fulfilled,False,card,American Express,Grand Credit Corporation,50,False,False,no,no,com,gmail,only_letters
10.0,fulfilled,False,paypal,JCB 16 digit,His Majesty Bank Corp.,42,False,False,no,no,info,other,digits_and_letters
34.0,fulfilled,False,card,VISA 16 digit,Citizens First Banks,10,False,True,no,no,weird,weird,only_letters
39.0,fulfilled,False,paypal,VISA 13 digit,Fountain Financial Inc.,30,True,False,unknown,unknown,com,hotmail,only_letters
49.0,fulfilled,False,card,American Express,Bastion Banks,30,False,False,no,no,org,other,only_letters
29.0,fulfilled,False,bitcoin,Discover,B,48,True,False,unknown,unknown,com,gmail,only_letters
25.0,fulfilled,False,card,Voyager,r,48,False,True,unknown,unknown,info,other,digits_and_letters
14.0,fulfilled,False,card,VISA 16 digit,Rose Bancshares,42,True,False,unknown,unknown,com,yahoo,only_letters
32.0,failed,False,card,JCB 15 digit,Vertex Bancorp,42,False,False,no,no,com,other,digits_and_letters
21.0,fulfilled,False,card,JCB 16 digit,Grand Credit Corporation,29,False,True,no,no,com,gmail,only_letters
10.0,fulfilled,True,bitcoin,Discover,Bulwark Trust Corp.,65,False,False,no,no,com,other,digits_and_letters
11.0,fulfilled,False,card,Discover,Her Majesty Trust,75,False,False,no,no,org,other,digits_and_letters
47.0,fulfilled,False,card,Mastercard,His Majesty Bank Corp.,58,True,False,no,no,com,yahoo,only_letters
50.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,58,False,True,no,no,com,other,only_letters
39.0,fulfilled,True,card,JCB 15 digit,Fountain Financial Inc.,58,False,True,unknown,unknown,com,other,digits_and_letters
18.0,fulfilled,False,card,VISA 13 digit,Fountain Financial Inc.,32,False,True,no,no,com,yahoo,digits_and_letters
29.0,fulfilled,False,card,Voyager,Rose Bancshares,36,False,False,no,no,com,other,digits_and_letters
41.0,pending,False,card,VISA 13 digit,Vertex Bancorp,14,True,False,unknown,unknown,com,yahoo,digits_and_letters
45.0,fulfilled,False,card,Diners Club / Carte Blanche,Solace Banks,14,False,False,no,no,com,yahoo,only_letters
22.0,fulfilled,True,card,VISA 13 digit,Citizens First Banks,15,False,False,no,no,com,other,digits_and_letters
29.0,fulfilled,False,paypal,Diners Club / Carte Blanche,His Majesty Bank Corp.,46,False,True,no,no,biz,other,only_letters
51.0,fulfilled,False,apple pay,VISA 13 digit,Rose Bancshares,18,False,False,no,no,net,other,digits_and_letters
36.0,fulfilled,False,paypal,VISA 16 digit,Vertex Bancorp,30,False,False,no,no,com,yahoo,only_letters
60.0,fulfilled,False,card,Maestro,Bastion Banks,16,True,True,unknown,unknown,com,hotmail,digits_and_letters
52.0,fulfilled,False,card,Discover,Her Majesty Trust,16,False,False,no,no,com,hotmail,digits_and_letters
68.0,fulfilled,True,bitcoin,JCB 16 digit,Bastion Banks,30,False,False,unknown,unknown,com,other,digits_and_letters
51.0,fulfilled,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,38,False,False,unknown,unknown,com,yahoo,digits_and_letters
31.0,fulfilled,True,bitcoin,Discover,Fountain Financial Inc.,49,False,True,no,no,com,gmail,digits_and_letters
36.0,fulfilled,False,card,Discover,Her Majesty Trust,29,False,False,no,no,com,other,only_letters
42.0,fulfilled,True,card,VISA 16 digit,Fountain Financial Inc.,20,False,False,no,no,biz,other,only_letters
35.0,fulfilled,False,card,Maestro,His Majesty Bank Corp.,40,False,True,no,no,com,other,only_letters
17.0,fulfilled,False,card,VISA 16 digit,Bulwark Trust Corp.,44,True,False,no,no,biz,other,digits_and_letters
33.0,failed,False,card,Voyager,Her Majesty Trust,44,False,False,no,no,com,hotmail,only_letters
353.0,fulfilled,True,card,Maestro,Citizens First Banks,10,False,False,no,no,com,other,digits_and_letters
17.0,fulfilled,True,card,Diners Club / Carte Blanche,Solace Banks,34,True,False,no,no,com,hotmail,only_letters
24.0,fulfilled,False,card,VISA 16 digit,Grand Credit Corporation,34,False,True,no,no,com,other,only_letters
35.0,pending,False,card,Voyager,Her Majesty Trust,39,False,False,no,no,com,gmail,digits_and_letters
32.0,fulfilled,False,card,JCB 16 digit,Bulwark Trust Corp.,49,False,False,unknown,unknown,com,yahoo,only_letters
36.0,fulfilled,False,bitcoin,VISA 16 digit,Vertex Bancorp,29,False,True,no,no,com,hotmail,only_letters
41.0,fulfilled,True,apple pay,American Express,Bastion Banks,25,True,False,unknown,unknown,com,gmail,only_letters
19.0,failed,False,apple pay,Diners Club / Carte Blanche,Citizens First Banks,25,False,False,no,no,com,yahoo,only_letters
20.0,fulfilled,False,card,JCB 16 digit,Bulwark Trust Corp.,14,True,False,no,no,com,hotmail,digits_and_letters
37.0,fulfilled,False,card,VISA 16 digit,Fountain Financial Inc.,14,True,False,no,no,org,other,digits_and_letters
14.0,fulfilled,False,apple pay,VISA 16 digit,Solace Banks,14,True,False,no,no,com,hotmail,digits_and_letters
49.0,fulfilled,True,card,American Express,Solace Banks,14,True,False,no,no,com,other,digits_and_letters
43.0,fulfilled,False,card,JCB 16 digit,Grand Credit Corporation,14,False,True,no,no,weird,weird,digits_and_letters
31.0,fulfilled,False,card,Voyager,Citizens First Banks,32,True,False,no,no,net,other,only_letters
46.0,fulfilled,False,card,VISA 16 digit,Vertex Bancorp,32,False,True,no,no,biz,other,digits_and_letters
16.0,fulfilled,False,card,Diners Club / Carte Blanche,Vertex Bancorp,21,False,False,unknown,unknown,com,gmail,digits_and_letters
15.0,fulfilled,False,apple pay,VISA 13 digit,Fountain Financial Inc.,10,True,True,no,no,com,gmail,digits_and_letters
18.0,failed,False,card,JCB 16 digit,Citizens First Banks,10,True,False,unknown,unknown,com,gmail,digits_and_letters
16.0,fulfilled,True,card,JCB 15 digit,Grand Credit Corporation,10,False,False,no,no,com,other,digits_and_letters
39.0,pending,True,card,American Express,Rose Bancshares,11,True,False,unknown,unknown,com,other,only_letters
37.0,fulfilled,False,card,JCB 16 digit,Solace Banks,11,False,False,no,no,com,other,only_letters
12.0,failed,False,apple pay,VISA 16 digit,Vertex Bancorp,47,True,True,no,no,com,yahoo,digits_and_letters
48.0,failed,True,apple pay,VISA 16 digit,Bulwark Trust Corp.,47,False,True,no,no,com,other,digits_and_letters
41.0,fulfilled,False,card,Voyager,Her Majesty Trust,50,False,False,no,no,net,other,digits_and_letters
29.0,fulfilled,False,card,VISA 13 digit,Fountain Financial Inc.,39,False,True,no,no,com,other,only_letters
22.0,fulfilled,False,apple pay,VISA 13 digit,Vertex Bancorp,18,True,True,no,no,biz,other,only_letters
44.0,fulfilled,False,card,Discover,c,18,False,True,no,no,com,gmail,digits_and_letters
43.0,failed,False,bitcoin,VISA 13 digit, ,29,False,True,no,no,com,other,only_letters
41.0,fulfilled,False,card,Mastercard,Rose Bancshares,41,True,False,no,no,com,other,only_letters
16.0,fulfilled,False,card,JCB 15 digit,Bulwark Trust Corp.,41,False,,unknown,unknown,weird,weird,only_letters
