orderAmount,orderState,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,fraudulent,samecity,samestate,emailDomain,emailProvider,customerIPAddressSimplified
61.0,fulfilled,False,card,American Express,Bulwark Trust Corp.,12,False,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,False,card,JCB 16 digit,His Majesty Bank Corp.,32,False,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,False,paypal,JCB 15 digit,Bastion Banks,20,False,,unknown,unknown,weird,weird,only_letters
46.0,failed,False,card,VISA 13 digit,Vertex Bancorp,21,True,,unknown,unknown,weird,weird,only_letters
31.0,fulfilled,True,apple pay,VISA 13 digit,Citizens First Banks,14,False,,unknown,unknown,weird,weird,only_letters
66.0,fulfilled,,,,,22,False,,unknown,unknown,weird,weird,only_letters
70.0,fulfilled,,,,,22,False,,unknown,unknown,weird,weird,only_letters
32.0,fulfilled,,,,,14,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,,,,,36,False,,unknown,unknown,weird,weird,only_letters
38.0,fulfilled,,,,,60,False,,unknown,unknown,weird,weird,only_letters
72.0,fulfilled,,,,,57,False,,unknown,unknown,weird,weird,only_letters
43.0,pending,,,,,59,True,,unknown,unknown,weird,weird,only_letters
16.0,failed,,,,,64,True,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,,,,,64,False,,unknown,unknown,weird,weird,only_letters
28.0,fulfilled,,,,,54,False,,unknown,unknown,weird,weird,only_letters
17.0,fulfilled,,,,,55,True,,unknown,unknown,weird,weird,only_letters
23.0,fulfilled,,,,,55,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,,,,,47,False,,unknown,unknown,weird,weird,only_letters
38.0,fulfilled,,,,,74,False,,unknown,unknown,weird,weird,only_letters
26.0,fulfilled,,,,,57,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,,,,,57,True,,unknown,unknown,weird,weird,only_letters
24.0,fulfilled,,,,,57,True,,unknown,unknown,weird,weird,only_letters
39.0,pending,,,,,57,True,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,,,,,53,False,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,,,,,61,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,,,,,67,False,,unknown,unknown,weird,weird,only_letters
47.0,failed,,,,,47,False,,unknown,unknown,weird,weird,only_letters
24.0,fulfilled,,,,,36,False,,unknown,unknown,weird,weird,only_letters
48.0,fulfilled,,,,,17,False,,unknown,unknown,weird,weird,only_letters
33.0,fulfilled,,,,,25,False,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,,,,,30,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,,,,,41,False,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,,,,,10,False,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,,,,,38,True,,unknown,unknown,weird,weird,only_letters
13.0,fulfilled,,,,,38,False,,unknown,unknown,weird,weird,only_letters
48.0,fulfilled,,,,,32,True,,unknown,unknown,weird,weird,only_letters
30.0,failed,,,,,32,False,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,,,,,18,False,,unknown,unknown,weird,weird,only_letters
26.0,fulfilled,,,,,11,True,,unknown,unknown,weird,weird,only_letters
45.0,fulfilled,,,,,11,False,,unknown,unknown,weird,weird,only_letters
39.0,fulfilled,,,,,47,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,,,,,17,True,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,,,,,72,True,,unknown,unknown,weird,weird,only_letters
15.0,fulfilled,,,,,72,True,,unknown,unknown,weird,weird,only_letters
30.0,failed,,,,,60,True,,unknown,unknown,weird,weird,only_letters
19.0,failed,,,,,60,False,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,,,,,42,False,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,,,,,33,False,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,,,,,33,True,,unknown,unknown,weird,weird,only_letters
23.0,fulfilled,,,,,33,False,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,,,,,35,False,,unknown,unknown,weird,weird,only_letters
15.0,fulfilled,,,,,40,True,,unknown,unknown,weird,weird,only_letters
45.0,fulfilled,,,,,40,True,,unknown,unknown,weird,weird,only_letters
13.0,fulfilled,,,,,40,False,,unknown,unknown,weird,weird,only_letters
17.0,failed,,,,,36,False,,unknown,unknown,weird,weird,only_letters
33.0,fulfilled,,,,,66,True,,unknown,unknown,weird,weird,only_letters
37.0,fulfilled,,,,,46,False,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,,,,,47,False,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,,,,,72,False,,unknown,unknown,weird,weird,only_letters
26.0,fulfilled,,,,,17,False,,unknown,unknown,weird,weird,only_letters
36.0,fulfilled,,,,,46,False,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,,,,,42,False,,unknown,unknown,weird,weird,only_letters
20.0,pending,,,,,36,False,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,,,,,10,True,,unknown,unknown,weird,weird,only_letters
63.0,fulfilled,,,,,10,False,,unknown,unknown,weird,weird,only_letters
55.0,pending,,,,,30,False,,unknown,unknown,weird,weird,only_letters
62.0,fulfilled,,,,,42,False,,unknown,unknown,weird,weird,only_letters
73.0,fulfilled,,,,,21,False,,unknown,unknown,weird,weird,only_letters
68.0,pending,,,,,16,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,,,,,39,False,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,,,,,22,True,,unknown,unknown,weird,weird,only_letters
34.0,failed,,,,,22,False,,unknown,unknown,weird,weird,only_letters
43.0,fulfilled,,,,,16,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,,,,,45,False,,unknown,unknown,weird,weird,only_letters
48.0,failed,,,,,13,False,,unknown,unknown,weird,weird,only_letters
29.0,fulfilled,,,,,74,False,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,,,,,67,False,,unknown,unknown,weird,weird,only_letters
19.0,fulfilled,,,,,42,False,,unknown,unknown,weird,weird,only_letters
37.0,fulfilled,,,,,43,True,,unknown,unknown,weird,weird,only_letters
25.0,fulfilled,,,,,12,False,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,,,,,11,True,,unknown,unknown,weird,weird,only_letters
38.0,fulfilled,,,,,11,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,,,,,39,False,,unknown,unknown,weird,weird,only_letters
45.0,fulfilled,,,,,14,True,,unknown,unknown,weird,weird,only_letters
18.0,fulfilled,,,,,14,False,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,,,,,35,False,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,,,,,19,False,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,,,,,32,False,,unknown,unknown,weird,weird,only_letters
22.0,pending,,,,,35,False,,unknown,unknown,weird,weird,only_letters
31.0,fulfilled,,,,,14,False,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,,,,,39,True,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,,,,,39,False,,unknown,unknown,weird,weird,only_letters
10.0,fulfilled,,,,,74,False,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,,,,,46,False,,unknown,unknown,weird,weird,only_letters
44.0,fulfilled,,,,,71,True,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,,,,,45,False,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,,,,,32,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,,,,,44,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,,,,,61,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,,,,,40,False,,unknown,unknown,weird,weird,only_letters
28.0,failed,,,,,49,False,,unknown,unknown,weird,weird,only_letters
44.0,fulfilled,,,,,46,False,,unknown,unknown,weird,weird,only_letters
21.0,pending,,,,,31,False,,unknown,unknown,weird,weird,only_letters
20.0,fulfilled,,,,,66,False,,unknown,unknown,weird,weird,only_letters
39.0,fulfilled,,,,,70,False,,unknown,unknown,weird,weird,only_letters
16.0,fulfilled,,,,,32,True,,unknown,unknown,weird,weird,only_letters
15.0,failed,,,,,32,False,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,,,,,50,False,,unknown,unknown,weird,weird,only_letters
21.0,fulfilled,,,,,38,True,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,,,,,38,False,,unknown,unknown,weird,weird,only_letters
33.0,fulfilled,,,,,72,False,,unknown,unknown,weird,weird,only_letters
30.0,fulfilled,,,,,43,False,,unknown,unknown,weird,weird,only_letters
44.0,fulfilled,,,,,16,False,,unknown,unknown,weird,weird,only_letters
26.0,fulfilled,,,,,12,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,,,,,28,False,,unknown,unknown,weird,weird,only_letters
36.0,fulfilled,,,,,17,False,,unknown,unknown,weird,weird,only_letters
16.0,fulfilled,,,,,23,False,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,,,,,11,False,,unknown,unknown,weird,weird,only_letters
31.0,failed,,,,,38,False,,unknown,unknown,weird,weird,only_letters
61.0,fulfilled,,,,,26,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,,,,,46,False,,unknown,unknown,weird,weird,only_letters
30.0,fulfilled,,,,,24,False,,unknown,unknown,weird,weird,only_letters
43.0,fulfilled,,,,,39,True,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,,,,,39,True,,unknown,unknown,weird,weird,only_letters
21.0,fulfilled,,,,,39,False,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,,,,,49,False,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,,,,,47,False,,unknown,unknown,weird,weird,only_letters
13.0,fulfilled,,,,,11,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,,,,,47,True,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,,,,,47,False,,unknown,unknown,weird,weird,only_letters
49.0,failed,,,,,24,False,,unknown,unknown,weird,weird,only_letters
54.0,fulfilled,,,,,48,False,,unknown,unknown,weird,weird,only_letters
37.0,fulfilled,,,,,33,False,,unknown,unknown,weird,weird,only_letters
43.0,fulfilled,,,,,14,True,,unknown,unknown,weird,weird,only_letters
64.0,fulfilled,,,,,14,True,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,,,,,14,True,,unknown,unknown,weird,weird,only_letters
23.0,fulfilled,,,,,14,False,,unknown,unknown,weird,weird,only_letters
32.0,fulfilled,,,,,50,False,,unknown,unknown,weird,weird,only_letters
25.0,fulfilled,,,,,22,True,,unknown,unknown,weird,weird,only_letters
19.0,fulfilled,,,,,22,False,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,,,,,22,False,,unknown,unknown,weird,weird,only_letters
,,,,,,13,False,,unknown,unknown,weird,weird,only_letters
,,,,,,48,False,,unknown,unknown,weird,weird,only_letters
,,,,,,30,False,,unknown,unknown,weird,weird,only_letters
,,,,,,47,False,,unknown,unknown,weird,weird,only_letters
,,,,,,26,False,,unknown,unknown,weird,weird,only_letters
,,,,,,45,False,,unknown,unknown,weird,weird,only_letters
,,,,,,39,False,,unknown,unknown,weird,weird,only_letters
,,,,,,11,False,,unknown,unknown,weird,weird,only_letters
,,,,,,22,False,,unknown,unknown,weird,weird,only_letters
,,,,,,15,False,,unknown,unknown,weird,weird,only_letters
,,,,,,30,False,,unknown,unknown,weird,weird,only_letters
,,,,,,19,False,,unknown,unknown,weird,weird,only_letters
,,,,,,40,False,,unknown,unknown,weird,weird,only_letters
,,,,,,12,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,23,True,,unknown,unknown,weird,weird,only_letters
,,,,,,23,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,15,False,,unknown,unknown,weird,weird,only_letters
,,,,,,45,False,,unknown,unknown,weird,weird,only_letters
,,,,,,13,False,,unknown,unknown,weird,weird,only_letters
,,,,,,17,False,,unknown,unknown,weird,weird,only_letters
,,,,,,33,True,,unknown,unknown,weird,weird,only_letters
,,,,,,33,False,,unknown,unknown,weird,weird,only_letters
,,,,,,37,False,,unknown,unknown,weird,weird,only_letters
,,,,,,49,False,,unknown,unknown,weird,weird,only_letters
,,,,,,14,False,,unknown,unknown,weird,weird,only_letters
,,,,,,26,False,,unknown,unknown,weird,weird,only_letters
,,,,,,36,True,,unknown,unknown,weird,weird,only_letters
,,,,,,36,True,,unknown,unknown,weird,weird,only_letters
,,,,,,36,True,,unknown,unknown,weird,weird,only_letters
,,,,,,36,True,,unknown,unknown,weird,weird,only_letters
,,,,,,36,True,,unknown,unknown,weird,weird,only_letters
,,,,,,36,False,,unknown,unknown,weird,weird,only_letters
,,,,,,40,True,,unknown,unknown,weird,weird,only_letters
,,,,,,40,False,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,True,,unknown,unknown,weird,weird,only_letters
,,,,,,20,False,,unknown,unknown,weird,weird,only_letters
,,,,,,49,False,,unknown,unknown,weird,weird,only_letters
,,,,,,63,False,,unknown,unknown,weird,weird,only_letters
,,,,,,55,True,,unknown,unknown,weird,weird,only_letters
,,,,,,62,True,,unknown,unknown,weird,weird,only_letters
,,,,,,62,False,,unknown,unknown,weird,weird,only_letters
,,,,,,73,False,,unknown,unknown,weird,weird,only_letters
,,,,,,68,False,,unknown,unknown,weird,weird,only_letters
,,,,,,34,False,,unknown,unknown,weird,weird,only_letters
,,,,,,47,False,,unknown,unknown,weird,weird,only_letters
,,,,,,34,False,,unknown,unknown,weird,weird,only_letters
,,,,,,43,True,,unknown,unknown,weird,weird,only_letters
,,,,,,43,False,,unknown,unknown,weird,weird,only_letters
,,,,,,50,False,,unknown,unknown,weird,weird,only_letters
,,,,,,48,True,,unknown,unknown,weird,weird,only_letters
,,,,,,48,True,,unknown,unknown,weird,weird,only_letters
,,,,,,48,False,,unknown,unknown,weird,weird,only_letters
,,,,,,29,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
,,,,,,19,False,,unknown,unknown,weird,weird,only_letters
,,,,,,37,False,,unknown,unknown,weird,weird,only_letters
,,,,,,25,False,,unknown,unknown,weird,weird,only_letters
,,,,,,22,False,,unknown,unknown,weird,weird,only_letters
,,,,,,38,False,,unknown,unknown,weird,weird,only_letters
,,,,,,11,False,,unknown,unknown,weird,weird,only_letters
,,,,,,45,True,,unknown,unknown,weird,weird,only_letters
,,,,,,45,False,,unknown,unknown,weird,weird,only_letters
,,,,,,18,False,,unknown,unknown,weird,weird,only_letters
,,,,,,12,True,,unknown,unknown,weird,weird,only_letters
,,,,,,12,True,,unknown,unknown,weird,weird,only_letters
,,,,,,12,True,,unknown,unknown,weird,weird,only_letters
,,,,,,12,True,,unknown,unknown,weird,weird,only_letters
,,,,,,12,False,,unknown,unknown,weird,weird,only_letters
,,,,,,49,False,,unknown,unknown,weird,weird,only_letters
,,,,,,12,True,,unknown,unknown,weird,weird,only_letters
,,,,,,12,False,,unknown,unknown,weird,weird,only_letters
,,,,,,22,True,,unknown,unknown,weird,weird,only_letters
,,,,,,22,False,,unknown,unknown,weird,weird,only_letters
,,,,,,31,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,34,False,,unknown,unknown,weird,weird,only_letters
,,,,,,10,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,True,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,44,True,,unknown,unknown,weird,weird,only_letters
,,,,,,44,False,,unknown,unknown,weird,weird,only_letters
,,,,,,47,False,,unknown,unknown,weird,weird,only_letters
,,,,,,22,True,,unknown,unknown,weird,weird,only_letters
,,,,,,22,False,,unknown,unknown,weird,weird,only_letters
,,,,,,46,False,,unknown,unknown,weird,weird,only_letters
,,,,,,46,False,,unknown,unknown,weird,weird,only_letters
,,,,,,34,False,,unknown,unknown,weird,weird,only_letters
,,,,,,28,True,,unknown,unknown,weird,weird,only_letters
,,,,,,28,False,,unknown,unknown,weird,weird,only_letters
,,,,,,44,False,,unknown,unknown,weird,weird,only_letters
,,,,,,21,False,,unknown,unknown,weird,weird,only_letters
,,,,,,20,False,,unknown,unknown,weird,weird,only_letters
,,,,,,39,False,,unknown,unknown,weird,weird,only_letters
,,,,,,16,False,,unknown,unknown,weird,weird,only_letters
,,,,,,15,False,,unknown,unknown,weird,weird,only_letters
,,,,,,12,False,,unknown,unknown,weird,weird,only_letters
,,,,,,21,True,,unknown,unknown,weird,weird,only_letters
,,,,,,21,False,,unknown,unknown,weird,weird,only_letters
,,,,,,14,True,,unknown,unknown,weird,weird,only_letters
,,,,,,33,True,,unknown,unknown,weird,weird,only_letters
,,,,,,33,False,,unknown,unknown,weird,weird,only_letters
,,,,,,30,False,,unknown,unknown,weird,weird,only_letters
,,,,,,44,False,,unknown,unknown,weird,weird,only_letters
,,,,,,26,False,,unknown,unknown,weird,weird,only_letters
,,,,,,46,True,,unknown,unknown,weird,weird,only_letters
,,,,,,46,False,,unknown,unknown,weird,weird,only_letters
,,,,,,36,False,,unknown,unknown,weird,weird,only_letters
,,,,,,16,False,,unknown,unknown,weird,weird,only_letters
,,,,,,47,True,,unknown,unknown,weird,weird,only_letters
,,,,,,47,False,,unknown,unknown,weird,weird,only_letters
,,,,,,31,False,,unknown,unknown,weird,weird,only_letters
,,,,,,61,False,,unknown,unknown,weird,weird,only_letters
,,,,,,34,False,,unknown,unknown,weird,weird,only_letters
,,,,,,30,False,,unknown,unknown,weird,weird,only_letters
,,,,,,43,False,,unknown,unknown,weird,weird,only_letters
,,,,,,14,True,,unknown,unknown,weird,weird,only_letters
,,,,,,14,False,,unknown,unknown,weird,weird,only_letters
,,,,,,21,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,13,False,,unknown,unknown,weird,weird,only_letters
,,,,,,46,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
,,,,,,49,False,,unknown,unknown,weird,weird,only_letters
,,,,,,54,True,,unknown,unknown,weird,weird,only_letters
,,,,,,54,False,,unknown,unknown,weird,weird,only_letters
,,,,,,37,True,,unknown,unknown,weird,weird,only_letters
,,,,,,37,False,,unknown,unknown,weird,weird,only_letters
,,,,,,43,False,,unknown,unknown,weird,weird,only_letters
,,,,,,64,False,,unknown,unknown,weird,weird,only_letters
,,,,,,40,False,,unknown,unknown,weird,weird,only_letters
,,,,,,23,False,,unknown,unknown,weird,weird,only_letters
,,,,,,32,False,,unknown,unknown,weird,weird,only_letters
,,,,,,25,True,,unknown,unknown,weird,weird,only_letters
,,,,,,25,True,,unknown,unknown,weird,weird,only_letters
,,,,,,25,False,,unknown,unknown,weird,weird,only_letters
,,,,,,19,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
